name,position,team,age_2024,2023_rush_yds,2023_rec_yds,2024_proj_rush,2024_proj_rec,2024_proj_total,rush_change,rec_change
Derrick Henry,RB,TEN,30,1167,214,1164,200,1365,-3,-14
Christian McCaffrey,RB,SFO,28,1459,564,1337,544,1882,-122,-20
Rachaad White,RB,TAM,25,990,549,1063,532,1595,73,-17
Travis Etienne,RB,JAX,25,1008,476,1038,451,1490,30,-25
Joe Mixon,RB,CIN,28,1034,376,1040,371,1412,6,-5
Najee Harris,RB,PIT,26,1035,170,1044,200,1244,9,30
Tony Pollard,RB,DAL,27,1005,311,1022,378,1400,17,67
Saquon Barkley,RB,NYG,27,962,280,973,297,1270,11,17
Chuba Hubbard,RB,CAR,25,902,233,909,284,1194,7,51
James Cook,RB,BUF,25,1122,445,1120,338,1458,-2,-107
Josh Jacobs,RB,LVR,26,805,296,862,306,1169,57,10
D'Andre Swift,RB,PHI,25,1049,214,1032,281,1313,-17,67
Kyren Williams,RB,LAR,24,1144,206,1144,227,1372,0,21
Breece Hall,RB,NYJ,23,994,591,975,729,1705,-19,138
David Montgomery,RB,DET,27,1015,117,1025,126,1152,10,9
Kenneth Walker III,RB,SEA,24,905,259,910,204,1115,5,-55
Javonte Williams,RB,DEN,24,774,228,816,263,1080,42,35
Devin Singletary,RB,HOU,27,898,193,902,204,1107,4,11
Bijan Robinson,RB,ATL,22,976,487,965,454,1420,-11,-33
Raheem Mostert,RB,MIA,32,1012,175,1027,173,1201,15,-2
James Conner,RB,ARI,29,1040,165,1038,177,1216,-2,12
Isiah Pacheco,RB,KAN,25,935,244,934,302,1236,-1,58
Jerome Ford,RB,CLE,25,813,319,826,311,1137,13,-8
Gus Edwards,RB,BAL,29,810,180,816,135,951,6,-45
Tyler Allgeier,RB,ATL,24,683,193,690,152,842,7,-41
Ezekiel Elliott,RB,NWE,29,642,313,666,325,991,24,12
Zack Moss,RB,IND,27,794,192,796,182,979,2,-10
Jahmyr Gibbs,RB,DET,22,945,316,897,351,1249,-48,35
Alvin Kamara,RB,NOR,29,694,466,692,672,1365,-2,206
Alexander Mattison,RB,MIN,26,700,192,694,209,903,-6,17
Austin Ekeler,RB,LAC,29,628,436,624,341,966,-4,-95
AJ Dillon,RB,GNB,26,613,223,619,183,802,6,-40
Brian Robinson Jr.,RB,WAS,25,733,368,745,319,1064,12,-49
Jonathan Taylor,RB,IND,25,741,153,747,148,895,6,-5
Jalen Hurts,QB,PHI,26,605,0,602,0,603,-3,0
Rhamondre Stevenson,RB,NWE,26,619,238,609,296,905,-10,58
Jaylen Warren,RB,PIT,26,784,370,761,431,1193,-23,61
Lamar Jackson,QB,BAL,27,821,0,800,0,800,-21,0
Dameon Pierce,RB,HOU,24,416,101,510,116,626,94,15
Aaron Jones,RB,GNB,30,656,233,649,203,852,-7,-30
Kareem Hunt,RB,CLE,29,411,84,471,111,582,60,27
Khalil Herbert,RB,CHI,26,611,134,619,148,768,8,14
Miles Sanders,RB,CAR,27,432,154,457,188,646,25,34
Justin Fields,QB,CHI,25,657,0,654,0,654,-3,0
Josh Allen,QB,BUF,28,524,0,529,1,531,5,1
D'Onta Foreman,RB,CHI,28,425,77,439,89,528,14,12
Zach Charbonnet,RB,SEA,23,462,209,457,240,697,-5,31
Joshua Kelley,RB,LAC,27,405,32,424,66,491,19,34
Jamaal Williams,RB,NOR,29,306,62,384,131,515,78,69
Zamir White,RB,LVR,25,451,98,457,113,570,6,15
De'Von Achane,RB,MIA,23,800,197,723,188,912,-77,-9
Ty Chandler,RB,MIN,26,461,159,462,151,614,1,-8
Tyjae Spears,RB,TEN,23,453,385,460,376,837,7,-9
Rico Dowdle,RB,DAL,26,361,144,367,126,493,6,-18
Kenneth Gainwell,RB,PHI,25,364,183,365,199,564,1,16
Justice Hill,RB,BAL,27,387,206,376,207,584,-11,1
Taysom Hill,TE/QB,NOR,34,401,291,396,263,660,-5,-28
Roschon Johnson,RB,CHI,23,352,209,359,248,607,7,39
Russell Wilson,QB,DEN,36,341,0,345,0,345,4,0
Latavius Murray,RB,BUF,34,300,119,295,122,417,-5,3
Royce Freeman,RB,LAR,28,319,13,321,13,334,2,0
Joshua Dobbs,QB,2TM,29,421,0,418,0,418,-3,0
Jaleel McLaughlin,RB,DEN,24,410,160,393,204,597,-17,44
Patrick Mahomes,QB,KAN,29,389,0,386,0,386,-3,0
Elijah Mitchell,RB,SFO,26,281,14,282,36,318,1,22
Clyde Edwards-Helaire,RB,KAN,25,223,188,234,128,363,11,-60
Trevor Lawrence,QB,JAX,25,339,0,340,0,340,1,0
Dalvin Cook,RB,NYJ,29,214,78,224,109,334,10,31
Antonio Gibson,RB,WAS,26,265,389,270,366,637,5,-23
Pierre Strong,RB,CLE,26,291,47,299,39,338,8,-8
Cam Akers,RB,2TM,25,167,70,183,91,274,16,21
Emari Demercado,RB,ARI,25,284,119,295,155,450,11,36
Matt Breida,RB,NYG,29,151,88,152,114,267,1,26
Dak Prescott,QB,DAL,31,242,0,240,0,240,-2,0
Samaje Perine,RB,DEN,29,238,455,239,420,660,1,-35
Justin Herbert,QB,LAC,26,228,10,230,4,234,2,-6
Chris Rodriguez,RB,WAS,24,247,12,244,13,258,-3,1
Tank Bigsby,RB,JAX,23,132,6,134,10,144,2,4
Jordan Love,QB,GNB,26,247,0,249,0,249,2,0
Cordarrelle Patterson,RB,ATL,33,181,38,175,77,252,-6,39
Chase Edmonds,RB,TAM,28,176,81,168,107,276,-8,26
Sam Howell,QB,WAS,24,263,4,260,2,263,-3,-2
Keaton Mitchell,RB,BAL,22,396,93,331,95,427,-65,2
Darrell Henderson,RB,LAR,27,112,103,108,102,211,-4,-1
Chase Brown,RB,CIN,24,179,156,181,121,302,2,-35
Kyler Murray,QB,ARI,27,244,0,245,0,246,1,0
D'Ernest Johnson,RB,JAX,28,108,140,108,96,205,0,-44
Kendre Miller,RB,NOR,22,156,117,156,96,253,0,-21
Craig Reynolds,RB,DET,28,179,47,177,37,214,-2,-10
Jeff Wilson,RB,MIA,29,188,85,186,108,294,-2,23
Daniel Jones,QB,NYG,27,206,0,204,0,204,-2,0
Jordan Mason,RB,SFO,25,206,31,203,23,226,-3,-8
Bryce Young,QB,CAR,23,253,0,245,0,245,-8,0
Deebo Samuel,WR,SFO,28,225,892,218,650,868,-7,-242
Isaiah Spiller,RB,LAC,23,96,34,97,33,131,1,-1
Zach Wilson,QB,NYJ,25,211,0,206,0,207,-5,0
Keaontay Ingram,RB,ARI,25,74,26,74,23,97,0,-3
Trey Sermon,RB,IND,25,160,13,160,23,184,0,10
Ronnie Rivers,RB,LAR,25,129,22,126,33,160,-3,11
Patrick Taylor,RB,GNB,26,141,49,136,76,212,-5,27
Darrynton Evans,RB,2TM,26,121,49,121,48,169,0,-1
Ty Johnson,RB,BUF,27,132,62,130,55,185,-2,-7
Michael Carter,RB,2TM,25,187,101,171,172,344,-16,71
Nick Chubb,RB,CLE,29,170,21,160,26,186,-10,5
Rondale Moore,WR,ARI,24,178,352,171,411,582,-7,59
Melvin Gordon,RB,BAL,31,81,46,83,28,111,2,-18
Tony Jones,RB,2TM,27,95,37,98,47,145,3,10
Ke'Shawn Vaughn,RB,TAM,27,42,2,41,9,50,-1,7
Damien Harris,RB,BUF,27,94,16,95,12,108,1,-4
Deuce Vaughn,RB,DAL,23,40,40,39,51,91,-1,11
Israel Abanikanda,RB,NYJ,22,70,43,70,48,118,0,5
Salvon Ahmed,RB,MIA,26,61,88,62,114,176,1,26
La'Mical Perine,RB,KAN,26,77,33,78,23,102,1,-10
Jerick McKinnon,RB,KAN,32,60,192,61,185,246,1,-7
Boston Scott,RB,PHI,29,86,52,84,28,113,-2,-24
Chris Brooks,RB,MIA,24,106,0,111,0,111,5,0
Eric Gray,RB,NYG,25,48,22,49,30,80,1,8
Kevin Harris,RB,NWE,24,65,58,65,26,91,0,-32
Ameer Abdullah,RB,LVR,31,89,131,89,145,234,0,14
Sean Tucker,RB,TAM,23,23,9,24,9,34,1,0
Trayveon Williams,RB,CIN,27,69,10,68,41,110,-1,31
Raheem Blackshear,RB,CAR,25,46,45,46,33,80,0,-12
Derius Davis,WR,LAC,24,101,66,97,100,198,-4,34
CeeDee Lamb,WR,DAL,25,113,1749,107,1742,1849,-6,-7
Emanuel Wilson,RB,GNB,25,85,23,86,25,111,1,2
Deon Jackson,RB,2TM,25,16,14,14,26,40,-2,12
Tyler Goodson,RB,IND,24,87,34,86,34,121,-1,0
Leonard Fournette,RB,BUF,29,40,0,40,0,40,0,0
