player_name,position,team_display,opponent,prop_type,sportsbook,line,price,model_prediction,sigma,p_win_pct,edge_pct,roi_pct,kelly_pct,stake,recommendation
Patrick Mahomes,QB,KC,JAX,rushing_yards,BetOnline.ag,22.5,-114,90.0,32.53747405023814,98.1,44.83,84.15,2.0,20.0,BET
Christian McCaffrey,RB,SF,TB,receiving_yards,SimBook,30.0,-110,109.93044273139401,42.65000848486248,97.0,44.57,85.09,2.0,20.0,BET
Courtland Sutton,WR,TB,SF,receiving_yards,SimBook,30.0,-110,109.72961534414418,42.65000848486248,96.9,44.54,85.03,2.0,20.0,BET
Hunter Henry,RB,TB,SF,receiving_yards,SimBook,30.0,-110,109.72961534414418,42.65000848486248,96.9,44.54,85.03,2.0,20.0,BET
Mike Evans,WR,TB,SF,receiving_yards,SimBook,30.0,-110,109.72961534414418,42.65000848486248,96.9,44.54,85.03,2.0,20.0,BET
Tony Pollard,RB,TB,SF,receiving_yards,SimBook,30.0,-110,109.72961534414418,42.65000848486248,96.9,44.54,85.03,2.0,20.0,BET
Garrett Wilson,WR,DEN,DET,receiving_yards,SimBook,30.0,-110,107.60808636061978,42.65000848486248,96.6,44.18,84.34,2.0,20.0,BET
Samaje Perine,RB,DEN,DET,receiving_yards,SimBook,30.0,-110,107.60808636061978,42.65000848486248,96.6,44.18,84.34,2.0,20.0,BET
Amon-Ra St. Brown,TE,DET,DEN,receiving_yards,SimBook,30.0,-110,107.60808636061978,42.65000848486248,96.6,44.18,84.34,2.0,20.0,BET
David Montgomery,RB,DET,DEN,receiving_yards,SimBook,30.0,-110,107.60808636061978,42.65000848486248,96.6,44.18,84.34,2.0,20.0,BET
Jahmyr Gibbs,RB,DET,DEN,receiving_yards,SimBook,30.0,-110,107.60808636061978,42.65000848486248,96.6,44.18,84.34,2.0,20.0,BET
Chuba Hubbard,RB,CAR,BUF,receiving_yards,SimBook,30.0,-110,107.45459837416209,42.65000848486248,96.5,44.15,84.29,2.0,20.0,BET
Jonathan Brooks,RB,CAR,BUF,receiving_yards,SimBook,30.0,-110,107.45459837416209,42.65000848486248,96.5,44.15,84.29,2.0,20.0,BET
Kenny Britt,FLEX,BUF,CAR,receiving_yards,SimBook,30.0,-110,107.32071344932888,42.65000848486248,96.5,44.13,84.24,2.0,20.0,BET
Stefon Diggs,WR,BUF,CAR,receiving_yards,SimBook,30.0,-110,107.32071344932888,42.65000848486248,96.5,44.13,84.24,2.0,20.0,BET
Chase Brown,RB,CIN,CHI,receiving_yards,SimBook,30.0,-110,105.95997343807089,42.65000848486248,96.3,43.87,83.76,2.0,20.0,BET
Ja'Marr Chase,WR,CIN,CHI,receiving_yards,SimBook,30.0,-110,105.95997343807089,42.65000848486248,96.3,43.87,83.76,2.0,20.0,BET
Travis Etienne,RB,JAX,KC,receiving_yards,SimBook,30.0,-110,105.95997343807089,42.65000848486248,96.3,43.87,83.76,2.0,20.0,BET
George Kittle,TE,KC,JAX,receiving_yards,SimBook,30.0,-110,105.89303097565428,42.65000848486248,96.2,43.86,83.73,2.0,20.0,BET
Travis Kelce,TE,KC,JAX,receiving_yards,SimBook,30.0,-110,105.89303097565428,42.65000848486248,96.2,43.86,83.73,2.0,20.0,BET
